JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl;
"Senior Node Developer - Waterloo,KLM Careers,""Waterloo, ON"",10 days ago,2021-06-05,Looking for either locals or those who would be willing to relocate (probably back to the office in 3-9 months). Client will cover relocation expenses.,,https://ca.indeed.com/rc/clk?jk=c27bf99f5e0efdd0&fccid=f42bbfc261ca3e64&vjs=3";
"Senior Actuarial Analyst,The Economical Insurance Group,""Waterloo, ON"",30+ days ago,2021-06-05,""Reporting to a Pricing Manager, you will be responsible for analysis pertaining to rate adequacy, including production of rate indications and development of…"",,https://ca.indeed.com/rc/clk?jk=275fff08e4bd5af2&fccid=d33243ac6c394a10&vjs=3";
"Senior Business Analyst - Data Analytics,McAfee,""Waterloo, ON"",30+ days ago,2021-06-05,You will be the analytics liaison between business and data engineering teams to improve results and value through improved delivery of impactful analytic…,,https://ca.indeed.com/rc/clk?jk=61ae7ec78515925f&fccid=800f11c47014effe&vjs=3";
"Senior Investigator, Incident Response,eSentire,""Waterloo, ON"",30+ days ago,2021-06-05,""Main function of this role is to drive deep expertise and experience in computer incident response, IT investigations and digital forensics throughout service…"",,https://ca.indeed.com/rc/clk?jk=2e32678283aa00d1&fccid=7c5fcad1555ef8c7&vjs=3";
"Senior Financial Analyst, External Reporting,Manulife,""Waterloo, ON"",15 days ago,2021-06-05,""Assist in the preparation of financial results and other strategic presentations to senior management and external auditors, as required";",,https://ca.indeed.com/rc/clk?jk=9224898ba08e65f2&fccid=1747adf6142beb48&vjs=3
Senior Account Manager, Medical OEMs"",Northern Digital Inc.,""Waterloo, ON"",30+ days ago,2021-06-05,""Employment Type: Regular Full Time. When the world’s top medical device OEMs and academic institutes need real-time medical instrument navigation, they call NDI…"",,https://ca.indeed.com/rc/clk?jk=3f91203f6d87ce25&fccid=7fe980e20d80c91d&vjs=3"
"Senior Transportation Technologist,Stantec,""Waterloo, ON"",9 days ago,2021-06-05,""Our Transportation group provides comprehensive planning, design, and engineering services for all phases of airport, bridge, rail, roadway, and transit…"",,https://ca.indeed.com/rc/clk?jk=18d88f17f6790c95&fccid=f1582c464db8553b&vjs=3";
"Senior Front End Developer,opentext,""Waterloo, ON"",3 days ago,2021-06-05,As the Senior Front End Web Developer you will be responsible for building the next generation of user experiences across OpenText web properties.,,https://ca.indeed.com/rc/clk?jk=c99d05602e7f5f35&fccid=c908408e676247d6&vjs=3";
"Senior Linux Administrator (Red Hat),opentext,""Waterloo, ON"",15 days ago,2021-06-05,This level III position within the department has the added responsibility of being a subject matter expert in multiple platforms/systems that are administered.,,https://ca.indeed.com/rc/clk?jk=8e8709370c94f6ce&fccid=c908408e676247d6&vjs=3";
"Sr. Software Developer,opentext,""Waterloo, ON"",Just posted,2021-06-05,OpenText Enterprise Information Management (EIM) technologies and business solutions allow organizations to take full advantage of enterprise information to…,,https://ca.indeed.com/rc/clk?jk=2761ca6c650be8ca&fccid=c908408e676247d6&vjs=3";
"Senior Software Test Specialist,BlackBerry,""Waterloo, ON"",24 days ago,2021-06-05,""You are technical, open minded and flexible QA professional, with experience in Enterprise systems and Cloud solutions, and solid automation scripting skills."",,https://ca.indeed.com/rc/clk?jk=57648460d192cb27&fccid=a311d3f78a9495c2&vjs=3";
"Senior Manager, Program and Process Operations,McAfee,""Waterloo, ON"",30+ days ago,2021-06-05,""Senior Manager, Program and Process Operations. We are seeking an individual who has a strong track record of excellent problem-solving skills and a passion for…"",,https://ca.indeed.com/rc/clk?jk=f90396e678c41f84&fccid=800f11c47014effe&vjs=3";
"Senior Assurance FSO,Ernst & Young,""Waterloo, ON"",28 days ago,2021-06-05,""As an Assurance Senior, you will specialize in the Financial Services Industry. Develop and maintain productive working relationships with client personnel and…"",,https://ca.indeed.com/rc/clk?jk=755c16d9c196d64b&fccid=1544766d4c2915b0&vjs=3";
"Senior Staff Software Developer, Embedded, Devices and Services,Google,""Waterloo, ON"",30+ days ago,2021-06-05,""Bachelor's degree or equivalent practical experience. 10 years of software development experience with programming languages (C or C++), or 8 years with an…"",,https://ca.indeed.com/rc/clk?jk=22e1f9da8bc144df&fccid=a5b4499d9e91a5c6&vjs=3";
"Sr. Knowledge Analyst 1,opentext,""Waterloo, ON"",10 days ago,2021-06-05,The Digital Customer Support Senior Knowledge Analyst will be responsible for compiling and telling the story of the digital support and self-service success…,,https://ca.indeed.com/rc/clk?jk=bd91906343093a81&fccid=c908408e676247d6&vjs=3";
"Senior Wholesale Case Associate - Independent Insurance Channel,Sun Life Financial,""Waterloo, ON"",30+ days ago,2021-06-05,""The Senior Wholesale Case Associate - Independent Insurance Channel is responsible for the prompt, accurate and complete end-to-end processing of life, LTC and…"",,https://ca.indeed.com/rc/clk?jk=c64acae90794b77e&fccid=618943d89d0005a6&vjs=3";
"Senior Software Developer,Dyspatch,""Kitchener-Waterloo, ON"",30+ days ago,2021-06-05,""As a member of our Engineering team you’ll work closely with the Product team, ensuring that customer experience is front-and-centre for all future features."",""$95,000 - $125,000 a year"",https://ca.indeed.com/company/Sendwithus/jobs/Senior-Software-Developer-11cd49ed262ae51c?fccid=88c9aaa2270d6993&vjs=3";
"Senior People and Culture Business Partner,Clearpath Inc.,""Waterloo, ON"",30+ days ago,2021-06-05,""Ability to think, act and execute at a strategic level and interact with senior leaders, as well as capable of continuously improving tactical day to day people…"",,https://ca.indeed.com/rc/clk?jk=48f7e4c7b5313d76&fccid=270d80b299cde949&vjs=3";
